Author	FirstName	Type	Title	Country	Abstract	Code	LastName	Symposium	Category	WordCount	NameFreq	Gender	Category2	Student	StudentStatus
Aida Nitsch	Aida	talk D23SY18RT18:09R5	Should I stay or should my siblings go? Sibship effects on dispersal behaviour	United Kingdom	Understanding dispersal behaviour and its determinants is critical for studies on life history maximising strategies. Though many previous studies have investigated the causes of dispersal, very few have focused on the importance of sibship, especially in humans. Using a large demographic historical dataset (n=4000), we investigate the influence of sibling competition and cooperation on dispersal behaviour. Specifically, we test whether the probability, the timing and the range of dispersal depend on the presence of same-sex or opposite-sex siblings and on their reproductive status. This study is the first to investigate in detail the importance of siblings’ interactions for dispersal behaviour in humans and has important implications for the understanding of the evolution of family dynamics and fitness maximising strategies in humans and in other species. 	D23SY18RT18:09R5	Nitsch	SY18	RT	127	1	Female	Talk		Staff
Aino Kalske	Aino	poster D21SY27PS0086	Interactive effects of inbreeding in a specialized plant-herbivore interaction	Finland	Inbreeding causes inbreeding depression in plant resistance against herbivores, as well as in several fitness-related traits in the herbivores. Furthermore, plant inbreeding may affect herbivore performance due to reduced herbivore resistance or plant nutritional quality. In many natural plant-herbivore systems, both of the interacting species are likely to experience inbreeding and yet, interactive effects of inbreeding of both a host plant and its herbivore have not been extensively studied. We studied the effects of experimental inbreeding of a perennial host plant, Vincetoxicum hirundinaria, and its specialist herbivore, the moth Abrostola asclepiadis, on plant resistance and herbivore performance in four populations. We were particularly interested in how inbreeding of both the host plant and the herbivore affect host and herbivore inbreeding depression in resistance and performance. Our results demonstrate that the expression of inbreeding depression in herbivore performance depends on whether the herbivore was grown on an inbred or on an outbred host plant and this effect varied among herbivore populations. Inbreeding depression in plants was significantly higher when they were consumed by outbred compared to inbred herbivores. Finally, the expression of inbreeding depression in the host plant in terms of resistance varied among plant and herbivore populations. These findings demonstrate that in plant-herbivore interactions inbreeding depression of one species can be altered depending on the inbreeding of the interacting species. Furthermore, our results suggest that when herbivores are inbred, herbivore-induced selection against self-fertilization in plants may diminish. 	D21SY27PS0086	Kalske	SY27	PS	242	1	Female	Poster	Student at University of Turku	Student
Alan Brelsford	Alan	poster D20SY23PS0734	Does “Coyne’s Rule” apply to amphibians? Introgression of sex-linked and autosomal markers across a tree frog hybrid zone	Switzerland	The large role of sex chromosomes in reproductive barriers between recently diverged species is one of the best-supported ideas in speciation research, and has been termed “Coyne’s Rule”. Most of this support, however, comes from studies of organisms with well-differentiated sex chromosomes such as fruit flies, mammals, and birds. In contrast to these groups, many fish and nearly all amphibians have homomorphic sex chromosomes, which contain a small sex-determining region and very large pseudo-autosomal regions. To date, little evidence is available to test how this dramatic difference in sex chromosome structure affects the genetic architecture of reproductive barriers. We genotyped 8 sex-linked and 16 autosomal microsatellites in frogs sampled along two transects across the hybrid zone between Hyla arborea and Hyla orientalis, and estimated cline width and position in order to test for differential introgression. Our results show no significant difference between introgression of sex-linked and autosomal markers, suggesting that the large effect of sex chromosomes on speciation may be limited to species with old and highly divergent sex chromosomes. 	D20SY23PS0734	Brelsford	SY23	PS	176	1	Male	Poster		Staff
Alastair Potts	Alastair	talk D21SY30RT18:09R2	Comparative phylogeography of three tree species from the Albany Subtropical Thicket of South Africa: testing cornerstone hypotheses of a large-scale conservation network	South Africa	An ambitious large-scale network of conservation areas and corridors has been designed with the aim of preserving the evolutionary patterns and processes of the Albany Subtropical Thicket biome of South Africa. Two main hypotheses, largely based on expert opinion, formed the foundation for this conservation plan: 1) drainage basins are discrete biogeographical, and thus evolutionarily-distinct, units, and 2) long-distance movement of the primary agents of disturbance in this landscape, African elephants (Loxodonta africana), is critical for ecosystem functioning. Here we test these hypotheses using chloroplast phylogeography of three tree species with similar ecologies but different seed dispersal syndromes, specifically Nymania capensis (Meliaceae; inflated wind-dispersed seeds), Pappea capensis (Sapindaceae; small bird-dispersed seeds) and Schotia afra (Fabaceae, large seed-pods dispersed by elephants and other large mammals). Each drainage basin was found to have isolated populations of the wind- and bird-dispersed species, whereas the elephant-dispersed species has a single regional meta-population that extends across all the drainage basins. These results suggest that the deeply-incised drainage basins along the coastal lowlands of South Africa are unique phylogeographic, as well as biogeographic, units for species that that lack long-distance dispersal mechanisms over such a topographically-complex landscape. At present, elephants and many other large herbivores are restricted to an extremely reduced and fragmented proportion of their historical distribution along the coastal lowlands. The phylogeographic patterns of S. afra highlight the importance of re-establishing the free movement of megaherbivores across the regional landscape for this and other elephant-dispersed plants. These phylogeographic patterns offer pivotal support for the proposed network of conservation corridors for this biome. 	D21SY30RT18:09R2	Potts	SY30	RT	272	2	Male	Talk		Staff
Alastair Potts	Alastair	poster D21SY30PS1080	Phylogeny reconstruction in the presence of intra-individual site polymorphisms: getting your support back	South Africa	Intra-individual site polymorphisms (2ISPs, e.g. Y or R) in DNA sequences can arise from sequencing errors, or the presence of numerous variants within a multi-copy gene region such as the internal transcribed spacers (ITS) from the nuclear-encoded 35S rDNA cistron. If 2ISPs are due to the latter, and arose from a lack of concerted evolution (and not hybridisation), these sites still offer phylogenetic information. At present, the majority of tree inference algorithms either remove 2ISPs or treat them as ambiguities. This reduces the information content of the dataset and/or creates site uncertainty which in turn can reduce support. Here we propose 2ISP-informative implementations for distance-based, maximum parsimony and maximum likelihood algorithms. These implementations are compared against the standard methods (with 2ISP-ambiguous treatments) using simulated datasets, a meta-analysis from over 20 published datasets, and two case studies. We show that the 2ISP-informative approach offers improved phylogenetic resolution and support as the 2ISP content increases in the dataset. Importantly, hybrid samples with 2ISPs do not result in falsely inflated branch supports under the informative approach. We envisage that this informative approach will greatly aid phylogenetic inference using any nuclear DNA regions that contain 2ISPs (including consensus sequences generated from next generation sequencing), especially at the intra-generic or intra-specific level. 	D21SY30PS1080	Potts	SY30	PS	218	2	Male	Poster		Staff
Alejandro Gonzalez-Voyer	Alejandro	talk D21SY07RT11:42R9	Evolution of acoustic and visual signals in Asian barbets	Spain	The study of animal communication systems is an important step towards gaining greater understanding of the processes influencing diversification because signals often play an important role in mate choice and can lead to reproductive isolation. Signal evolution can be influenced by a diversity of factors such as biophysical constraints on the emitter, the signalling environment, or selection to avoid heterospecific matings. Furthermore, because signals can be costly to produce, trade-offs may exist between different types of signals. Here, we apply phylogenetic comparative analyses to study the evolution of acoustic and visual signals in Asian barbets, a clade of non-Passerine, forest-dependent birds. Our results suggest that evolution of acoustic and visual signals in barbets is influenced by diverse factors, such as morphology and signalling environment, suggesting a potential effect of sensory drive. We found no trade-offs between visual and acoustic signals. Quite to the contrary, more colourful species sing significantly longer songs. Song characteristics presented distinct patterns of evolution. Song frequency diverged early on and the rate of evolution of this trait appears to be constrained by body size. On the other hand, characteristics associated with length of the song presented evidence for more recent divergence. Finally, our results indicate that there is a spatial component to the evolution of visual signals, and that visual signals are more divergent between closely related taxa than acoustic signals. Hence, visual signals in these species could play a role in speciation or reinforcement of reproductive isolation following secondary contacts. 	D21SY07RT11:42R9	Gonzalez-Voyer	SY07	RT	249	1	Male	Talk		Staff
Aleksandra Biedrzycka	Aleksandra	poster D20SY12PS0933	Next Generation Sequencing reveals high complexity of the Major Histocompability Complex class I exon 3 in sedge warbler	Poland	The major Histocompability Complex (MHC) class I genes have received a considerable of interest from evolutionary biologists. Their role in parasite recognition and extreme polymorphism makes these genes a paradigm for studying genetic effects on survival, mate choice and pathogen resistance. Exon 3 of MHC class I genes encodes a part of the domain that binds and presents peptides from pathogens. Species possessing many highly polymporphic MHC loci are potentially under strong natural selection from parasites. Determining selection acting on MHC in natural population of such species over extended periods of time offers a great opportunity to reveal mechanisms maintaining MHC diversity. Here we present initial characterization of MHC class I genes diversity in a sedge warbler Acrocephalus schoenobaenus from population inhabiting natural wetlands in the Nida valley, SE Poland. We designed primers and determined diversity at MHC class I exon 3 both in cDNA and gDNA of 4 unrelated individuals with use of Next Generation Sequencing methods. We found extreme diversity at the MHC class I exon 3 of the sedge warbler. This data will be used for designing specific primers amplifying functional alleles of MHC class I exon 3 in sedge warbler. Subsequently, we are going to infer long-term selection on MHC class I in the species. 	D20SY12PS0933	Biedrzycka	SY12	PS	210	3	Female	Poster		Staff
Aleksandra Patenkovic	Aleksandra	poster D20SY05PS0809	Variation of Drosophila subobscura wing morphometric traits induced by 25 µT electromagnetic field	Serbia	Human activities lead to extensive changes in ecosystems, with both ecological and evolutionary consequences. Electromagnetic fields of different frequencies are one of the most common and rapidly increasing environmental factors, but it is still unclear how organisms respond and/or adapt to such environmental changes. In an attempt to determine influence of every-day commonly used electromagnetic field (25 µT, 50 Hz) on morphometric traits, we analyze the direction and range of changes in wing size and shape in Drosophila subobscura. Wing development in Drosophila is well understood, and the wing vein network is excellent model system to investigate the effects of stressful environmental factors. The analysis was conducted using eight highly inbreed lines where one set of lines were reared in electromagnetic field, while another set of lines were reared in control conditions, over the three generations. We used method of landmark-based geometric morphometrics, which allows separating the shape and size effects, traits with different genetic properties and different response to the same environmental factors. Our data suggest that presence of extra low frequency electromagnetic field over extended period of time may reduce the stability of wing morphology and consequently reduce the fitness of exposed individuals. Therefore, specific stress that persists over multiple generations could increase the probabilities for extinction of populations composed of sensitive individuals. 	D20SY05PS0809	Patenkovic	SY05	PS	217	3	Female	Poster	Student at Institute for Biological Research “Siniša Stankovic”, University of Belgrade	Student
Aleksandra Walczynska	Aleksandra	poster D23SY02PS0434	Inter- and intraspecific relationships between performance and temperature in a cryptic-species complex of the rotifer Brachionus plicatilis	Poland	The strategy of decreasing size with increasing temperature operates at geographic (Bergmann’s rule) and within-genotype (temperature-size rule) scales and presents a puzzle to researches. The aim of this study was to verify whether differences in the adult size of closely related species coexisting in the same habitat are adaptive. The experiments were conducted on the cryptic species complex of the rotifer Brachionus plicatilis, represented by three species living in the Torrablanca marshes of eastern Spain. A cryptic species complex is a group of species each one satisfying the biological definition of species but having very similar morphologies. It provides an experimental model for testing ecological hypotheses because the species similarity tends to simplify comparisons. The monogonont rotifer species complex Brachionus plicatilis is a good example. Three of the cryptic species co-occur in the same ponds and differ in adult size. Co-occurrence is associated with their different preferences for temperature and salinity, mode of competition and vulnerability to predators. Three aspects of the performance-temperature relationship along a temperature gradient were studied, (i) the population growth rates were compared, (ii) the interspecific phenotypic plasticity of adult size was assessed, and (iii) the pattern of sediment egg bank hatching was explored. The results show that (i) the optimal temperature for population growth is related to species size in a manner foreseen by Bergmanns’ rule, (ii) the temperature-size rule differs between species and may depend on the level of temperature specialization, and that (iii) adult size, as a proxy for resting egg size, is adaptive regarding the hatching pattern. These results broaden the general knowledge on the evolutionary mechanisms behind the body size-temperature relationship and have important consequences for the coexistence and geographic ranges of species, and for species redundancy. 	D23SY02PS0434	Walczynska	SY02	PS	293	3	Female	Poster		Staff
Alessandra Basso	Alessandra	poster D23SY20PS0869	Interaction of parasite- and predator-induced maternal effects in the Great tit (Parus major)	Switzerland	Organisms often face a risk of predation and simultaneously the presence of parasites, which may induce costly defences and thereby strongly influence animal behaviour and physiology. Moreover, if these two types of defences require resources from a common pool, then important trade-offs may arise. Both predation risk and parasites can independently trigger maternal effects to prepare offspring to better cope with their presence in the environment. However, it remains unknown whether the simultaneous presence of both parasites and risk of predation in the maternal environment would induce maternal effects that may affect nestling phenotype, growth rate and condition, and whether the effects induced by the two types of defences are interdependent. We thereby investigated the effects of exposure, pre-laying, during laying and post-hatching, to both presence of parasites and increased predation risk in the great tit and the potential trade-off between them. In increased predation risk environments, the maternal response enhanced wing growth and immune response of male nestlings. Nestling mass, tarsus and survival were influenced by parasites, but their negative effects were attenuated by the maternal response. The effects of the predator treatment on mass seemed to be concealed by a stronger effect of parasites, but were visible on tarsus growth. The findings suggest that maternal effects induced by an increased perceived risk of predation and by parasites influence offspring phenotype and survival, that the two stressors interact with each other, and that their simultaneous presence can alter the optimal allocation of resources mediated by maternal effects. The presence of parasites seems to have a stronger effect on growth and development compared to that of predators, suggesting a prioritization of the different risks in a particular environment. 	D23SY20PS0869	Basso	SY20	PS	282	1	Female	Poster	Student at University of Bern	Student
Alessia Guggisberg	Alessia	poster D21SY10PS0752	Edaphic adaptation in the 'omics' era: a genomic view of the calcicole-calcifuge problem	Switzerland	Since almost 200 years, plant ecologists are debating about the causal factors underlying the striking floristic differences observed between plant communities occupying calcareous versus siliceous substrates. Indeed, it remains unclear which chemical (e.g. aluminium and bicarbonate toxicity, nitrate or phosphate depletion) or physical factors (e.g. water or temperature stress) actually drive edaphic adaptation in natural plant populations, advocating for comparative genomic studies on calcicole-calcifuge vicariants, i.e. sister taxa that grow on either soil type. We herewith propose to fill this knowledge gap, by deciphering the genetic basis of local adaptation in two diploid species of Arabidopsis (A. lyrata and A. arenosa, Brassicaceae) that grow on both calcareous and siliceous bedrocks. Using whole-genome re-sequencing of pooled DNA libraries (totalling 240 individuals per species), along with outlier analyses based on allele frequency divergence, we have identified a hundred loci that are enriched for genes acting at the cell periphery in response to ion homeostasis and trans-membrane transporter activity. Among them, a dozen contain up to 130 outlier SNPs, and constitute excellent candidates for functional validation. Overall, our results suggest that chemical soil composition is the main cause of ecological differentiation in these species. Our work further highlights the potential of Arabidopsis as a new model system in experimental studies on edaphic adaptation in plants. 	D21SY10PS0752	Guggisberg	SY10	PS	219	1	Female	Poster		Staff
Alex Ball	Alex	poster D21SY25PS1195	Sexual conflict predicts the evolution of sexual dimorphism in a diverse avian family, the Penduline tits (Remizidae)	United Kingdom	Sexual selection is a potent evolutionary force that can cause the rapid diversification of morphological and behavioural traits. The Penduline tits (Remizidae) are a small passerine family distributed throughout Eurasia, Africa and North America which employ a diverse array of reproductive strategies. The European species (Remiz pendulinus) is highly promiscuous, with both males and females having up to 6 sequential mates in a single season. The pursuit of additional mating opportunities results in uni-parental care due to male and female nest desertion and, surprisingly common bi-parental desertion (up to 30%). The considerable variation in parental care conflict across this family led us to produce the first molecular phylogeny of the Remizidae family (13 species) so that the relationship between sexual dimorphism evolution and sexual conflict could be explored. As predicted by sexual selection theory we find that increased levels of conflict over care are associated with sexually dimorphic plumage traits. The relationship between parental investment and sexual selection is a key piller of sexual selection theory but the empirical examples of this in such closely related species are rare. To ascertain the drivers of this relationship is a key objective within evolutionary biology. 	D21SY25PS1195	Ball	SY25	PS	195	2	Male	Poster	Student at University of Bath	Student
